FIPS_NUM,STATE_NAME,ST_ABBR,PCPI,GDP_peremp,GINI,Per_metro,College_Deg,Permfg,perprof,Born_Diff,For_born,transpay
1,Alabama,AL,38918,78319,0.485,76.5,22.9,10.3,5.6,30.5,3.4,23.3
2,Alaska,AK,55674,110424,0.408,67.9,25.8,3.6,5.2,59.3,7.7,16
4,Arizona,AZ,40546,83980,0.471,95.3,25.4,4.8,6.4,60.5,13.5,20.7
5,Arkansas,AR,39722,74349,0.472,62,20.9,9.8,4.1,38.8,4.6,23.8
6,California,CA,56308,112731,0.49,97.8,29.9,6.1,8.6,45,27.2,15.1
8,Colorado,CO,52097,88374,0.459,87.5,36.1,4.4,9,57.2,9.8,13.3
9,Connecticut,CT,69094,112895,0.495,94.6,36.8,7.2,7.3,44.8,14.4,13.2
10,Delaware,DE,47837,123917,0.452,99.9,28.7,4.7,6.4,55,9.4,20.4
11,District of Columbia,DC,75756,142201,0.542,99.5,53.8,0.2,15.6,62.8,13.3,12.7
12,Florida,FL,45855,79093,0.485,96.4,26.2,3.4,7.1,64.2,20.6,19.8
13,Georgia,GA,42146,88846,0.481,82.7,28.3,6.9,6.8,45.4,10.1,17.4
15,Hawaii,HI,50358,92597,0.442,81.1,29.3,2,5.2,46.7,18.4,15.7
16,Idaho,ID,39543,69957,0.45,67.1,24.6,7.2,6,51.7,5.8,18.4
17,Illinois,IL,51679,101738,0.481,88.2,32.9,7.6,7.4,32.9,13.9,15.2
18,Indiana,IN,43091,90002,0.453,77.9,24.4,13.9,4.6,31.8,5.3,19.5
19,Iowa,IA,46056,89192,0.445,59.4,27.3,10.6,4,29.5,5.1,17.5
20,Kansas,KS,47221,78471,0.455,67.8,30.4,8.7,5.7,40.9,7.1,16
21,Kentucky,KY,38934,78627,0.481,58.7,22.3,10.2,4.6,31.1,3.5,24.5
22,Louisiana,LA,42257,88318,0.499,83.7,21.4,5.4,5.3,21.8,4.1,21.7
23,Maine,ME,44094,71649,0.452,59.3,28.2,6.8,5.5,37.4,3.8,22.4
24,Maryland,MD,57972,104410,0.45,97.3,36.9,3.1,9.9,52.4,15.3,14.1
25,Massachusetts,MA,64122,107151,0.479,98.4,40.8,5.5,10,39.1,16.5,14.9
26,Michigan,MI,44231,87360,0.47,81.9,26.4,11.2,7.4,23.7,6.7,21.3
27,Minnesota,MN,51990,91169,0.45,77.5,33.4,9,6.5,32,8.2,15.9
28,Mississippi,MS,35524,68476,0.483,46.1,19.4,9.4,3.6,28.5,2,26.7
29,Missouri,MO,42939,80548,0.465,74.7,27.1,7.5,5.9,33.7,4.1,20.3
30,Montana,MT,43107,69054,0.467,35.4,27.9,3.6,5.7,45.3,2.1,19.3
31,Nebraska,NE,50016,89264,0.448,65,29.5,7.6,4.9,35.3,7,14.6
32,Nevada,NV,43579,85340,0.458,90.8,20.5,2.9,5.6,73.6,20,16.9
33,New Hampshire,NH,55945,88127,0.43,62.8,34.3,8.4,6.9,58.3,5.7,15.2
34,New Jersey,NJ,61240,106620,0.481,99.6,37.6,4.8,8.7,47.8,22.5,14.4
35,New Mexico,NM,38393,85143,0.477,66.5,23,3,7.2,47.1,9.5,24.2
36,New York,NY,59289,122036,0.513,92.6,34.5,4,8.1,37.3,23,17.5
37,North Carolina,NC,42203,89585,0.478,78.2,28.7,8.4,6.1,43.2,7.8,19.8
38,North Dakota,ND,54801,91989,0.453,50,28.2,4.5,4.1,37.5,3.2,13.3
39,Ohio,OH,44561,90064,0.468,79.6,26.5,10.3,5.7,25,4.4,20.1
40,Oklahoma,OK,42717,79552,0.465,67.4,22.9,6.2,4.9,38.6,5.8,19.2
41,Oregon,OR,45482,93248,0.458,83.9,30.1,8.3,6.6,53.7,9.6,19.7
42,Pennsylvania,PA,50730,94733,0.469,88.5,30.3,7.8,6.9,27.6,6.8,19.8
44,Rhode Island,RI,50373,90788,0.478,99.9,32,6.8,6.6,43.6,14.1,20
45,South Carolina,SC,39527,77889,0.474,85,24.9,9.2,5.5,43,4.8,22.6
46,South Dakota,SD,48051,80646,0.45,48.3,26.8,7.4,3.7,35.5,3.6,15.2
47,Tennessee,TN,43338,84220,0.479,77.4,25,9.1,5.5,38.8,4.8,20.3
48,Texas,TX,46204,96087,0.48,88.9,26.2,5.5,6.8,40.3,17,15.5
49,Utah,UT,41018,81788,0.426,89.6,27.8,7,7.4,38,8.3,13.4
50,Vermont,VT,50084,71389,0.454,34.9,32.7,7.8,6.3,49.8,4.5,20.7
51,Virginia,VA,52941,95968,0.471,87.5,35.8,4.8,10.7,50.6,12.3,13.8
53,Washington,WA,54632,110587,0.459,90.1,32.4,7.2,7.4,53.2,14,15
54,West Virginia,WI,36673,81600,0.471,61.8,20.2,5.6,4.3,31.1,1.7,29
55,Wisconsin,WV,46809,85153,0.45,74.1,28.1,13.1,4.7,28.5,5,17.2
56,Wyoming,WY,55172,96656,0.436,30.6,24.1,2.9,4.4,57.3,3.2,13.3
